transitions,roles,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,build_time
5,2,1.224081278,1.381466389,1.232497692,1.213322401,1.170310736,1.343358278,1.13614583,1.241063833,1.226099968,1.352653027,1.252099943
5,2,1.251445532,1.4613657,1.197899342,1.199593544,1.190302134,1.295527935,1.221337795,1.235359192,1.31379056,1.285488129,1.265210986
5,2,1.252173662,1.229430437,1.363385916,1.258831263,1.241766691,1.249139309,1.435700893,1.228004932,1.185257435,1.21816349,1.266185403
5,2,1.279875517,1.194509268,1.241658926,1.247369051,1.345172405,1.221794128,1.315834522,1.245489597,1.318878651,1.265328169,1.267591023
5,2,1.235705376,1.377378464,1.341406822,1.155279875,1.271638632,1.380351543,1.253260374,1.182344913,1.245016336,1.375774622,1.281815696
5,2,1.307538271,1.350953102,1.205191135,1.279058218,1.247114897,1.261830807,1.214818716,1.237879515,1.328690767,1.200312614,1.263338804
5,2,1.200798035,1.189101219,1.17817688,1.418020248,1.19461894,1.252565861,1.276510477,1.435447216,1.171264172,1.233400106,1.254990315
5,3,1.831080198,1.914996624,1.798592091,1.919313669,1.868712187,1.79118824,2.034101963,1.936117411,1.856873751,1.891860247,1.884283638
5,3,1.851466417,2.033354759,1.859537363,1.792111635,1.98213315,1.861545086,1.842796087,1.975288391,1.839225292,1.85582304,1.889328122
5,4,2.409775972,2.672800064,2.697796583,2.794276476,2.668920994,2.784062862,2.592947006,2.738773108,2.579544306,2.74824357,2.668714094
6,1,0.614808321,0.583374977,0.691623211,0.744597435,0.595263481,0.606962681,0.581248522,0.624531031,0.624146223,0.625296354,0.629185224
6,1,0.668501854,0.60700202,0.593874693,0.624940872,0.622514009,0.630665302,0.604204655,0.570197105,0.642316818,0.599615097,0.616383243
6,1,0.61475873,0.54239893,0.860284567,0.615689039,0.58739686,0.639002562,0.610830784,0.610158443,0.621716022,0.604677439,0.630691338
6,1,0.744138002,0.625645399,0.707174063,0.607880592,0.610261202,0.620560884,0.618197203,0.673914433,0.553316832,0.608902931,0.636999154
6,1,0.616351128,0.632958174,0.594299316,0.696473598,0.634093046,0.619213104,0.609596252,0.623374224,0.638409853,0.673986435,0.633875513
6,1,0.638174534,0.579794168,0.600862265,0.600387573,0.730856895,0.588890553,0.603008747,0.594284058,0.618275166,0.61082077,0.616535473
6,1,0.612116098,0.595300436,0.65475297,0.728349686,0.618028164,0.609650612,0.734016657,0.566165447,0.624945164,0.635458231,0.637878346
6,2,1.22973609,1.31885457,1.158314466,1.174992561,1.1785748,1.397209406,1.192684412,1.179102898,1.227359295,1.322530031,1.237935853
6,2,1.259125948,1.300872087,1.247189283,1.152344227,1.173758507,1.350413322,1.179597378,1.192405462,1.210011721,1.365809679,1.243152761
6,2,1.297647715,1.253587484,1.154776096,1.225039482,1.181232214,1.354912281,1.212338924,1.226222754,1.170770645,1.306320429,1.238284802
6,2,1.328445435,1.253913641,1.20249939,1.320957661,1.312816381,1.198054075,1.218871117,1.38537097,1.334607601,1.17938447,1.273492074
6,2,1.31486845,1.2375319,1.44929719,1.199897289,1.174889326,1.234623194,1.295891523,1.267590523,1.221473694,1.270482302,1.266654539
6,3,1.879616022,1.935289145,1.779584646,1.893143177,1.808008432,1.766891718,1.906339884,1.818581343,1.780723572,1.974947929,1.854312587
6,3,1.934066772,1.833189726,1.904874563,2.039451599,1.872274399,1.814815521,1.981369972,1.862498999,1.865689993,1.846957684,1.895518923
6,3,1.982171059,1.961759567,1.791211367,1.874459743,1.912887812,1.917279243,1.845666647,1.85293889,1.978683233,1.780922651,1.889798021
6,3,1.800122976,2.044568062,1.798187017,1.815188169,1.880670309,1.888768911,1.928037882,1.979064941,1.793200016,2.048762083,1.897657037
6,3,1.872498751,1.85887146,2.079359293,1.841151714,1.936617374,1.883589506,1.885747194,2.016723633,1.840873957,1.905926228,1.912135911
6,3,2.255092621,1.915554762,1.841988087,2.004709482,1.942405462,1.856916904,1.88152647,1.872065544,1.947548389,1.922889233,1.944069695
6,4,2.423295259,2.371085644,2.541479111,2.472321987,2.579389811,2.459263325,2.567878246,2.429452658,2.518357515,2.52010417,2.488262773
7,1,0.638701677,0.616159916,0.595654726,0.652539253,0.598594666,0.61723876,0.601461172,0.617692471,0.61602211,0.598823309,0.615288806
7,1,0.640989304,0.568174362,0.607964754,0.760428429,0.594574928,0.581839085,0.593066931,0.627352953,0.594437599,0.555771828,0.612460017
7,1,0.700583458,0.599382639,0.633165359,0.617355824,0.586385965,0.620273352,0.605055332,0.62654686,0.618151426,0.629305601,0.623620582
7,2,1.285651207,1.162791967,1.239545345,1.185207367,1.460598469,1.170761585,1.237921,1.220993996,1.334937811,1.210727215,1.250913596
