transitions,roles,build_time,valid_run,valid_run_time,valid_query,name
4,2,0.95351243,True,0.113708019,E<> trueGlobalLog[0].eventID == R48_e_2_ID and trueGlobalLog[1].eventID == R49_e_0_ID and trueGlobalLog[2].eventID == R48_e_0_ID and trueGlobalLog[3].eventID == R48_e_1_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\5_max_5_roles_max_5_commands\5_max_5_roles_max_5_commands.json
4,1,0.486720562,True,0.09360528,E<> trueGlobalLog[0].eventID == R593_e_2_ID and trueGlobalLog[1].eventID == R593_e_1_ID and trueGlobalLog[2].eventID == R593_e_0_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\62_max_5_roles_max_5_commands\62_max_5_roles_max_5_commands.json
4,2,0.945002317,True,0.12887001,E<> trueGlobalLog[0].eventID == R55_e_0_ID and trueGlobalLog[1].eventID == R56_e_0_ID and trueGlobalLog[2].eventID == R55_e_2_ID and trueGlobalLog[3].eventID == R55_e_1_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\6_max_5_roles_max_5_commands\6_max_5_roles_max_5_commands.json
4,1,0.523870707,True,0.096122503,E<> trueGlobalLog[0].eventID == R77_e_0_ID and trueGlobalLog[1].eventID == R77_e_3_ID and trueGlobalLog[2].eventID == R77_e_2_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_5_commands\9_max_5_roles_max_5_commands\9_max_5_roles_max_5_commands.json
4,2,1.178748369,True,0.126256466,E<> trueGlobalLog[0].eventID == R2420_e_1_ID and trueGlobalLog[1].eventID == R2420_e_2_ID and trueGlobalLog[2].eventID == R2419_e_0_ID and trueGlobalLog[3].eventID == R2420_e_0_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_10_commands\78_max_10_roles_max_10_commands\78_max_10_roles_max_10_commands.json
4,2,1.219327927,True,0.123530626,E<> trueGlobalLog[0].eventID == R334_e_1_ID and trueGlobalLog[1].eventID == R334_e_2_ID and trueGlobalLog[2].eventID == R334_e_0_ID and trueGlobalLog[3].eventID == R335_e_0_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\17_max_10_roles_max_5_commands\17_max_10_roles_max_5_commands.json
4,2,1.223766804,True,0.115428209,E<> trueGlobalLog[0].eventID == R752_e_0_ID and trueGlobalLog[1].eventID == R751_e_2_ID and trueGlobalLog[2].eventID == R751_e_0_ID and trueGlobalLog[3].eventID == R751_e_1_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\44_max_10_roles_max_5_commands\44_max_10_roles_max_5_commands.json
4,1,0.81583333,True,0.112942934,E<> trueGlobalLog[0].eventID == R843_e_0_ID and trueGlobalLog[1].eventID == R843_e_2_ID and trueGlobalLog[2].eventID == R843_e_1_ID and trueGlobalLog[3].eventID == R843_e_3_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\49_max_10_roles_max_5_commands\49_max_10_roles_max_5_commands.json
4,1,0.688154221,True,0.124308825,E<> trueGlobalLog[0].eventID == R849_e_1_ID and trueGlobalLog[1].eventID == R849_e_0_ID and trueGlobalLog[2].eventID == R849_e_3_ID and trueGlobalLog[3].eventID == R849_e_2_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\50_max_10_roles_max_5_commands\50_max_10_roles_max_5_commands.json
4,1,0.732678413,True,0.135101318,E<> trueGlobalLog[0].eventID == R1034_e_1_ID and trueGlobalLog[1].eventID == R1034_e_0_ID and trueGlobalLog[2].eventID == R1034_e_2_ID and trueGlobalLog[2].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\59_max_10_roles_max_5_commands\59_max_10_roles_max_5_commands.json
4,2,1.385965109,True,0.126163006,E<> trueGlobalLog[0].eventID == R125_e_0_ID and trueGlobalLog[1].eventID == R124_e_0_ID and trueGlobalLog[2].eventID == R124_e_2_ID and trueGlobalLog[3].eventID == R124_e_1_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\10_roles_5_commands\7_max_10_roles_max_5_commands\7_max_10_roles_max_5_commands.json
4,1,0.576196194,True,0.096165895,E<> trueGlobalLog[0].eventID == R4764_e_2_ID and trueGlobalLog[1].eventID == R4764_e_0_ID and trueGlobalLog[2].eventID == R4764_e_1_ID and trueGlobalLog[3].eventID == R4764_e_3_ID and trueGlobalLog[3].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\20_roles_10_commands\81_max_20_roles_max_10_commands\81_max_20_roles_max_10_commands.json
5,1,0.456810236,True,0.083765268,E<> trueGlobalLog[0].eventID == R273_e_3_ID and trueGlobalLog[1].eventID == R273_e_2_ID and trueGlobalLog[2].eventID == R273_e_4_ID and trueGlobalLog[3].eventID == R273_e_0_ID and trueGlobalLog[4].eventID == R273_e_1_ID and trueGlobalLog[4].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\17_max_5_roles_max_10_commands\17_max_5_roles_max_10_commands.json
5,1,0.577346325,True,0.098365545,E<> trueGlobalLog[0].eventID == R589_e_0_ID and trueGlobalLog[1].eventID == R589_e_1_ID and trueGlobalLog[2].eventID == R589_e_4_ID and trueGlobalLog[3].eventID == R589_e_3_ID and trueGlobalLog[4].eventID == R589_e_2_ID and trueGlobalLog[4].orderCount != 0,C:\Users\thore\OneDrive\Skrivebord\MasterThesis\SwarmProtocolVerification\src\example_protocols\5_roles_10_commands\37_max_5_roles_max_10_commands\37_max_5_roles_max_10_commands.json
