transitions,roles,build_time,projection_time,rt
45,5,3.798179865,0,225
25,9,6.014584064,0,225
25,9,5.820956945,0.003953695,225
25,9,5.930091143,0,225
33,7,4.680824757,0.007823944,231
33,7,4.639206171,0.015007257,231
33,7,4.535479784,0.01627183,231
26,9,6.057807446,0,234
34,7,4.685110569,0.015670538,238
40,6,4.239467382,0,240
30,8,5.419471741,0,240
49,5,3.594032049,0.006009579,245
35,7,4.855033159,0,245
31,8,5.351181507,0.005908251,248
50,5,3.587093115,0.003042459,250
42,6,4.077078104,0,252
42,6,4.082440615,0,252
36,7,4.590039492,0,252
32,8,4.710940361,0.007008076,256
32,8,5.441330433,0.003651142,256
37,7,4.85368228,0.015618563,259
38,7,4.663958311,0,266
39,7,4.716699123,0,273
39,7,4.811424255,0.005632401,273
39,7,4.86324048,0,273
56,5,3.530658007,0,280
56,5,3.838421822,0,280
56,5,3.770270109,0,280
40,7,4.129119396,0,280
57,5,3.699582338,0.00402832,285
41,7,4.589624166,0,287
41,7,4.916521072,0,287
58,5,3.636969328,0.004436255,290
33,9,6.078351498,0,297
60,5,3.398414135,0,300
38,8,5.544374704,0.015621901,304
38,8,5.569819927,0,304
62,5,4.198193073,0,310
62,5,3.602832079,0,310
63,5,3.682279348,0,315
45,7,4.874779224,0,315
40,8,5.502295256,0.00489068,320
46,7,4.722891331,0,322
41,8,5.475846767,0.013078213,328
47,7,4.74848938,0.006028652,329
66,5,3.893553019,0.00472331,330
67,5,3.749052525,0,335
68,5,3.892858744,0,340
49,7,4.941657543,0,343
43,8,5.423889637,0.006508112,344
58,6,4.403472185,0,348
58,6,4.338267088,0,348
39,9,6.029933453,0.008781433,351
44,8,5.426464558,0.007009983,352
45,8,5.287783861,0.006052494,360
46,8,5.282544613,0.009153128,368
74,5,3.7194345,0,370
47,8,5.355435133,0.005703449,376
47,8,5.464213848,0.010606766,376
63,6,4.596968174,0,378
63,6,4.661428928,0.017835617,378
63,6,4.229828596,0,378
63,6,4.314630032,0,378
54,7,5.040439844,0.00617528,378
64,6,4.192542791,0.007197857,384
44,9,6.01636529,0.004757881,396
45,9,6.094281912,0.006331921,405
58,7,5.139411211,0.006428719,406
68,6,4.785711288,0,408
68,6,4.440839529,0,408
59,7,4.817169189,0.016080379,413
47,9,5.888735533,0.009033442,423
48,9,6.151811123,0.010068893,432
62,7,5.088656425,0,434
63,7,4.912889719,0.006032228,441
49,9,6.262327433,0.017328262,441
76,6,4.308508158,0,456
76,6,4.814978123,0.008808613,456
51,9,6.076046467,0.019411325,459
77,6,4.409535885,0,462
67,7,4.995001793,0.00475359,469
68,7,4.917669296,0,476
68,7,5.033478737,0,476
68,7,4.992110729,0.011044025,476
53,9,5.607540131,0,477
53,9,5.945859909,0,477
80,6,4.575561523,0.011028767,480
80,6,4.769999266,0.015627861,480
60,8,5.809064388,0.007086754,480
69,7,5.116006851,0.008722067,483
69,7,5.206195593,0.005592585,483
49,10,6.822662354,0,490
62,8,5.76462841,0,496
50,10,7.041530371,0.020394802,500
46,11,7.614829302,0.008089781,506
52,10,7.036800385,0.00776124,520
68,8,6.060219765,0,544
61,9,6.412919044,0.018282175,549
93,6,5.097663403,0.015669346,558
82,7,5.21931982,0.019480467,574
84,7,5.705936909,0.006245613,588
59,10,6.993601799,0,590
54,11,7.361274004,0.008639097,594
60,10,6.825221777,0.010533094,600
86,7,5.286803484,0,602
68,9,5.976044416,0,612
62,10,7.346580744,0,620
53,12,8.388656855,0,636
53,12,8.26417613,0,636
53,12,8.380016565,0,636
80,8,6.151258945,0,640
82,8,5.663974762,0.007040262,656
55,12,7.834726572,0.010880709,660
67,10,7.947856903,0.01061058,670
85,8,6.558095455,0.014936924,680
62,11,7.699377537,0.010614872,682
76,9,7.049556732,0.015671253,684
89,8,5.776456833,0.011449099,712
66,11,7.715324163,0.016191721,726
92,8,6.05649519,0,736
92,8,6.226555347,0,736
62,12,8.242944717,0.015206575,744
62,12,8.248369217,0.022881031,744
58,13,8.927120924,0.013896227,754
64,12,8.3813622,0.015630245,768
88,9,6.2776227,0.011583805,792
89,9,6.822780609,0.016489744,801
81,10,7.209604979,0.014901638,810
81,10,7.70054388,0.014435291,810
68,12,8.762902498,0.013491869,816
91,9,6.336622953,0.015621424,819
69,12,8.31590271,0.010492563,828
84,10,7.232344389,0.014294147,840
85,10,7.748320818,0.021775961,850
85,10,6.998143435,0.015519857,850
96,9,6.738936186,0.013050795,864
98,9,7.244118929,0.020253897,882
81,11,8.008285522,0.016653299,891
64,14,9.784508944,0.012838364,896
69,13,8.938597679,0.017241716,897
60,15,10.23722506,0,900
101,9,7.33472538,0.011762381,909
91,10,7.317673445,0.020406723,910
91,10,7.62278986,0.017563343,910
96,10,8.222813129,0.012817383,960
97,10,7.857563019,0.021780014,970
81,12,8.473639488,0.026184559,972
89,11,8.141650438,0.016213179,979
92,11,7.836369038,0.012171507,1012
102,10,8.235532045,0.011859655,1020
93,11,8.273163795,0.016887903,1023
103,10,7.109711885,0.021957874,1030
115,9,6.985913277,0.020605087,1035
117,9,8.593559742,0.02396369,1053
107,10,7.775047064,0.02619338,1070
100,11,8.475250483,0.022475243,1100
74,15,10.08411646,0.015886307,1110
75,15,10.73478198,0.017482281,1125
113,10,7.639319181,0.023573399,1130
77,15,10.26811934,0.023010492,1155
83,14,9.901246309,0.01863575,1162
99,12,8.550191641,0.024060965,1188
121,10,8.294752359,0.020207882,1210
81,15,10.69529223,0.022750139,1215
102,12,9.748473883,0.02381134,1224
102,12,9.151554108,0.059105396,1224
103,12,9.138019323,0.024490833,1236
83,15,10.22552943,0.025976419,1245
78,16,11.09333849,0.024124861,1248
79,16,11.18145943,0.029496908,1264
79,16,11.27869797,0.028128386,1264
115,11,8.713193655,0.03335619,1265
115,11,9.101374388,0.021603346,1265
128,10,10.31996512,0.022382259,1280
80,16,11.35140085,0.021680355,1280
107,12,8.936295986,0.026793718,1284
121,11,10.35310245,0.024241447,1331
111,12,9.242034435,0.037815571,1332
103,13,10.54962969,0.01960969,1339
135,10,9.069453239,0.028413534,1350
106,13,9.684058189,0.023136377,1378
115,12,9.585465908,0.032190084,1380
117,12,10.06872892,0.033884764,1404
108,13,10.05889463,0.025565147,1404
83,17,11.58667946,0.027848244,1411
83,17,11.56235909,0.021366596,1411
110,13,9.588348866,0.02627039,1430
120,12,10.44632816,0.021939039,1440
85,17,11.71559596,0.021540165,1445
112,13,9.918634176,0.025357723,1456
134,11,11.13231969,0.035897732,1474
123,12,10.00515246,0.02940917,1476
124,12,9.683402538,0.026599169,1488
125,12,16.42270541,0.029356956,1500
116,13,9.516396999,0.035567045,1508
116,13,9.379784107,0.025822163,1508
126,12,12.58920979,0.028958797,1512
91,17,11.65369201,0.016764879,1547
129,12,9.117097139,0.040043592,1548
130,12,12.24395037,0.03156352,1560
104,15,11.44328618,0.035340309,1560
132,12,11.51700234,0.027549505,1584
132,12,9.616211653,0.029348373,1584
125,13,11.46406817,0.033821583,1625
125,13,11.02250433,0.03246069,1625
110,15,11.45034575,0.03438592,1650
138,12,10.24620795,0.028344631,1656
92,18,12.89908481,0.029129505,1656
128,13,11.6936388,0.041024446,1664
89,19,12.86669707,0.031918764,1691
141,12,13.20689297,0.033870697,1692
132,13,10.57890415,0.038308859,1716
101,17,12.89193249,0.034707785,1717
144,12,9.831617117,0.033879042,1728
144,12,10.70353317,0.033986568,1728
96,18,12.99771166,0.043091297,1728
102,17,11.6767211,0.027993679,1734
124,14,10.69395161,0.044130802,1736
134,13,11.16610384,0.042279243,1742
134,13,10.93947053,0.038536549,1742
119,15,12.12126541,0.041178465,1785
150,12,9.832130909,0.041529417,1800
95,19,13.35640645,0.026990891,1805
130,14,10.81648874,0.032456875,1820
122,15,11.85912228,0.052140474,1830
122,15,12.03805971,0.036656141,1830
141,13,12.17605424,0.040292978,1833
154,12,11.38576865,0.039827347,1848
143,13,11.61687303,0.044226408,1859
156,12,12.38593912,0.057363033,1872
137,14,12.19415665,0.032974005,1918
148,13,11.09391499,0.051325798,1924
138,14,11.08289289,0.055951595,1932
121,16,13.5124321,0.032610416,1936
130,15,11.85662603,0.032356262,1950
152,13,10.81517267,0.044800997,1976
124,16,11.92378807,0.035340548,1984
153,13,13.99040508,0.038214445,1989
111,18,12.86672044,0.034261227,1998
144,14,11.82714152,0.035624266,2016
145,14,11.32208872,0.038555384,2030
147,14,12.77385783,0.051927567,2058
147,14,10.47016907,0.044236422,2058
162,13,11.75734878,0.048296452,2106
111,19,14.28467131,0.068458796,2109
142,15,14.92764664,0.062445879,2130
135,16,13.90887523,0.054430962,2160
146,15,11.67506671,0.049550295,2190
146,15,17.51498985,0.055490255,2190
147,15,12.03556514,0.043670893,2205
150,15,11.974015,0.054687262,2250
161,14,11.99720907,0.04901123,2254
154,15,12.48922491,0.043676376,2310
122,19,13.94221616,0.040601254,2318
167,14,11.69365096,0.083526134,2338
156,15,12.79991388,0.04158926,2340
156,15,14.35004377,0.044101477,2340
157,15,14.04250312,0.046800613,2355
140,17,14.29688573,0.046855927,2380
150,16,14.19473958,0.040367842,2400
150,16,13.62346959,0.039340258,2400
164,15,13.33713961,0.043636084,2460
164,15,18.99102879,0.055372477,2460
155,16,14.07030654,0.048928976,2480
